运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
0.433,0.03,0.145,-0.839,7.13E-04,0.003,-0.02,,,-0.02,
0.454,0.033,0.145,-0.839,7.88E-04,0.003,-0.02,,,-0.02,
0.476,0.036,0.109,-2.517,8.63E-04,0.003,-0.06,,,-0.01,
0.498,0.038,0.036,-2.517,9.00E-04,8.67E-04,-0.06,,,0,
0.519,0.038,0,-0.839,9.00E-04,0,-0.02,,,0,
0.541,0.038,0,0,9.00E-04,0,0,,,0,
0.562,0.038,0,0,9.00E-04,0,0,,,0,
0.584,0.038,0,0,9.00E-04,0,0,,,0,
0.606,0.038,0,-0.839,9.00E-04,0,-0.02,,,0,
0.627,0.038,-0.036,-1.678,9.00E-04,-8.67E-04,-0.04,,,0,
0.649,0.036,-0.073,-0.839,8.63E-04,-0.002,-0.02,,,-0.01,
0.671,0.035,-0.073,0,8.25E-04,-0.002,0,,,-0.01,
0.692,0.033,-0.073,-0.839,7.88E-04,-0.002,-0.02,,,-0.01,
0.714,0.031,-0.109,-0.839,7.50E-04,-0.003,-0.02,,,-0.01,
0.736,0.028,-0.109,0.839,6.75E-04,-0.003,0.02,,,-0.01,
0.757,0.027,-0.073,0.839,6.38E-04,-0.002,0.02,,,-0.01,
0.779,0.025,-0.073,-4.17E-15,6.00E-04,-0.002,-1.00E-16,,,-0.01,
0.8,0.024,-0.073,0.839,5.63E-04,-0.002,0.02,,,-0.01,
0.822,0.022,-0.036,1.678,5.25E-04,-8.67E-04,0.04,,,0,
0.829,,,,,,,,0.24,,
0.844,0.022,0,0.839,5.25E-04,0,0.02,,,0,
0.865,0.022,0,0,5.25E-04,0,0,,,0,
0.887,0.022,0,0,5.25E-04,0,0,,,0,
0.909,0.022,0,0,5.25E-04,0,0,,,0,
0.93,0.022,0,0,5.25E-04,0,0,,,0,
0.952,0.022,0,-0.839,5.25E-04,0,-0.02,,,0,
0.973,0.022,-0.036,-1.678,5.25E-04,-8.67E-04,-0.04,,,0,
0.995,0.02,-0.073,0,4.88E-04,-0.002,0,,,-0.01,
1.017,0.019,-0.036,1.678,4.50E-04,-8.67E-04,0.04,,,0,
1.038,0.019,0,0.839,4.50E-04,0,0.02,,,0,
1.06,0.019,0,0,4.50E-04,0,0,,,0,
1.082,0.019,0,0,4.50E-04,0,0,,,0,
1.103,0.019,0,0,4.50E-04,0,0,,,0,
1.125,0.019,0,0,4.50E-04,0,0,,,0,
1.147,0.019,0,0.839,4.50E-04,0,0.02,,,0,
1.168,0.019,0.036,0.839,4.50E-04,8.67E-04,0.02,,,0,
1.19,0.02,0.036,-0.839,4.88E-04,8.67E-04,-0.02,,,0,
1.211,0.02,0,-0.839,4.88E-04,0,-0.02,,,0,
1.233,0.02,0,0,4.88E-04,0,0,,,0,
1.255,0.02,0,0,4.88E-04,0,0,,,0,
1.276,0.02,0,-0.839,4.88E-04,0,-0.02,,,0,
1.298,0.02,-0.036,-1.678,4.88E-04,-8.67E-04,-0.04,,,0,
1.32,0.019,-0.073,0,4.50E-04,-0.002,0,,,-0.01,
1.341,0.017,-0.036,0.839,4.13E-04,-8.67E-04,0.02,,,0,
1.363,0.017,-0.036,-0.839,4.13E-04,-8.67E-04,-0.02,,,0,
1.385,0.016,-0.073,-9.62E-16,3.75E-04,-0.002,0,,,-0.01,
1.406,0.014,-0.036,1.678,3.38E-04,-8.67E-04,0.04,,,0,
1.428,0.014,0,0.839,3.38E-04,0,0.02,,,0,
1.449,0.014,0,0.839,3.38E-04,0,0.02,,,0,
1.471,0.014,0.036,3.357,3.38E-04,8.67E-04,0.08,,,0,
1.493,0.016,0.145,5.035,3.75E-04,0.003,0.12,,,-0.02,
1.514,0.02,0.254,3.357,4.88E-04,0.006,0.08,,,-0.06,
1.536,0.027,0.29,1.28E-15,6.38E-04,0.007,0,,,-0.08,
1.558,0.033,0.254,-1.678,7.88E-04,0.006,-0.04,,,-0.06,
1.579,0.038,0.218,-2.517,9.00E-04,0.005,-0.06,,,-0.05,
1.601,0.042,0.145,-3.357,0.001,0.003,-0.08,,,-0.02,
1.622,0.044,0.073,-2.517,0.001,0.002,-0.06,,,-0.01,
1.644,0.046,0.036,-2.517,0.0011,8.67E-04,-0.06,,,0,
1.666,0.046,-0.036,-3.357,0.0011,-8.67E-04,-0.08,,,0,
1.687,0.044,-0.109,-1.678,0.001,-0.003,-0.04,,,-0.01,
1.709,0.041,-0.109,0.839,9.75E-04,-0.003,0.02,,,-0.01,
1.731,0.039,-0.073,0.839,9.38E-04,-0.002,0.02,,,-0.01,
1.752,0.038,-0.073,0.839,9.00E-04,-0.002,0.02,,,-0.01,
1.774,0.036,-0.036,1.678,8.63E-04,-8.67E-04,0.04,,,0,
1.796,0.036,0,1.678,8.63E-04,0,0.04,,,0,
1.817,0.036,0.036,0.839,8.63E-04,8.67E-04,0.02,,,0,
1.839,0.038,0.036,0,9.00E-04,8.67E-04,0,,,0,
1.86,0.038,0.036,4.33E-15,9.00E-04,8.67E-04,1.03E-16,,,0,
1.882,0.039,0.036,-1.678,9.38E-04,8.67E-04,-0.04,,,0,
1.904,0.039,-0.036,-1.678,9.38E-04,-8.67E-04,-0.04,,,0,
1.925,0.038,-0.036,4.33E-15,9.00E-04,-8.67E-04,1.03E-16,,,0,
1.947,0.038,-0.036,0,9.00E-04,-8.67E-04,0,,,0,
1.969,0.036,-0.036,0.839,8.63E-04,-8.67E-04,0.02,,,0,
1.99,0.036,0,0.839,8.63E-04,0,0.02,,,0,
2.012,0.036,0,0,8.63E-04,0,0,,,0,
2.034,0.036,0,1.678,8.63E-04,0,0.04,,,0,
2.055,0.036,0.073,0,8.63E-04,0.002,0,,,-0.01,
2.077,0.039,0,-9.23,9.38E-04,0,-0.22,,,0,
2.098,0.036,-0.327,-12.587,8.63E-04,-0.008,-0.3,,,-0.11,
2.12,0.025,-0.545,-6.713,6.00E-04,-0.013,-0.16,,,-0.3,
2.142,0.013,-0.617,-3.357,3.00E-04,-0.015,-0.08,,,-0.38,
2.163,-0.002,-0.69,-3.357,-3.75E-05,-0.016,-0.08,,,-0.48,
2.185,-0.017,-0.762,-3.357,-4.13E-04,-0.018,-0.08,,,-0.58,
2.207,-0.035,-0.835,-4.196,-8.25E-04,-0.02,-0.1,,,-0.7,
2.228,-0.053,-0.944,-5.874,-0.0013,-0.023,-0.14,,,-0.89,
2.25,-0.075,-1.089,-7.552,-0.0018,-0.026,-0.18,,,-1.19,
2.271,-0.101,-1.271,-8.391,-0.0024,-0.03,-0.2,,,-1.61,
2.293,-0.13,-1.452,-10.07,-0.0031,-0.035,-0.24,,,-2.11,
2.315,-0.163,-1.706,-12.587,-0.0039,-0.041,-0.3,,,-2.91,
2.336,-0.204,-1.997,-13.426,-0.0049,-0.048,-0.321,,,-3.99,
2.358,-0.25,-2.287,-15.104,-0.006,-0.055,-0.361,,,-5.23,
2.38,-0.303,-2.65,-17.622,-0.0072,-0.063,-0.421,,,-7.02,
2.401,-0.364,-3.05,-19.3,-0.0087,-0.073,-0.461,,,-9.3,
2.41,,,,,,,,0.25,,
2.423,-0.435,-3.485,-20.978,-0.0104,-0.083,-0.501,,,-12.15,
2.445,-0.515,-3.957,-24.335,-0.0123,-0.094,-0.581,,,-15.66,
2.466,-0.606,-4.538,-27.691,-0.0145,-0.108,-0.661,,,-20.6,
2.488,-0.712,-5.155,-30.209,-0.017,-0.123,-0.721,,,-26.58,
2.509,-0.829,-5.845,-33.565,-0.0198,-0.14,-0.801,,,-34.17,
2.531,-0.964,-6.608,-35.243,-0.023,-0.158,-0.841,,,-43.66,
2.553,-1.115,-7.37,-36.082,-0.0266,-0.176,-0.861,,,-54.32,
2.574,-1.283,-8.169,-37.761,-0.0306,-0.195,-0.901,,,-66.73,
2.596,-1.469,-9.004,-38.6,-0.0351,-0.215,-0.922,,,-81.07,
2.618,-1.673,-9.839,-36.922,-0.0399,-0.235,-0.881,,,-96.8,
2.639,-1.894,-10.601,-31.887,-0.0452,-0.253,-0.761,,,-112.39,
2.661,-2.132,-11.218,-25.174,-0.0509,-0.268,-0.601,,,-125.85,
2.682,-2.38,-11.69,-17.622,-0.0568,-0.279,-0.421,,,-136.67,
2.704,-2.637,-11.981,-6.713,-0.063,-0.286,-0.16,,,-143.54,
2.726,-2.898,-11.981,5.874,-0.0692,-0.286,0.14,,,-143.54,
2.747,-3.156,-11.727,19.3,-0.0753,-0.28,0.461,,,-137.52,
2.769,-3.405,-11.146,32.726,-0.0813,-0.266,0.781,,,-124.23,
2.791,-3.638,-10.311,43.635,-0.0868,-0.246,1.042,,,-106.31,
2.812,-3.852,-9.258,54.543,-0.0919,-0.221,1.302,,,-85.71,
2.834,-4.039,-7.951,62.934,-0.0964,-0.19,1.502,,,-63.22,
2.856,-4.196,-6.535,68.808,-0.1002,-0.156,1.643,,,-42.71,
2.877,-4.321,-4.974,73.843,-0.1032,-0.119,1.763,,,-24.74,
2.899,-4.411,-3.34,76.36,-0.1053,-0.08,1.823,,,-11.16,
2.92,-4.466,-1.67,77.2,-0.1066,-0.04,1.843,,,-2.79,
2.942,-4.483,0,76.36,-0.107,0,1.823,,,0,
2.964,-4.466,1.634,76.36,-0.1066,0.039,1.823,,,-2.67,
2.985,-4.412,3.304,76.36,-0.1053,0.079,1.823,,,-10.92,
3.007,-4.323,4.938,72.165,-0.1032,0.118,1.723,,,-24.38,
3.029,-4.199,6.426,65.452,-0.1002,0.153,1.563,,,-41.29,
3.05,-4.045,7.769,60.417,-0.0966,0.185,1.442,,,-60.36,
3.072,-3.863,9.04,53.704,-0.0922,0.216,1.282,,,-81.72,
3.094,-3.654,10.093,41.956,-0.0872,0.241,1.002,,,-101.87,
3.115,-3.426,10.855,30.209,-0.0818,0.259,0.721,,,-117.84,
3.137,-3.184,11.4,20.139,-0.076,0.272,0.481,,,-129.96,
3.158,-2.933,11.727,7.552,-0.07,0.28,0.18,,,-137.52,
3.18,-2.677,11.727,-5.874,-0.0639,0.28,-0.14,,,-137.52,
3.202,-2.425,11.473,-15.104,-0.0579,0.274,-0.361,,,-131.62,
3.223,-2.18,11.073,-21.817,-0.052,0.264,-0.521,,,-122.62,
3.245,-1.946,10.529,-27.691,-0.0465,0.251,-0.661,,,-110.85,
3.267,-1.725,9.875,-32.726,-0.0412,0.236,-0.781,,,-97.52,
3.288,-1.519,9.113,-35.243,-0.0363,0.218,-0.841,,,-83.04,
3.31,-1.33,8.35,-32.726,-0.0318,0.199,-0.781,,,-69.73,
3.331,-1.158,7.697,-30.209,-0.0276,0.184,-0.721,,,-59.24,
3.353,-0.997,7.043,-30.209,-0.0238,0.168,-0.721,,,-49.61,
3.375,-0.853,6.39,-26.852,-0.0204,0.153,-0.641,,,-40.83,
3.396,-0.721,5.882,-23.496,-0.0172,0.14,-0.561,,,-34.59,
3.418,-0.598,5.373,-22.656,-0.0143,0.128,-0.541,,,-28.87,
3.44,-0.489,4.901,-19.3,-0.0117,0.117,-0.461,,,-24.02,
3.461,-0.386,4.538,-15.104,-0.0092,0.108,-0.361,,,-20.6,
3.483,-0.292,4.248,-12.587,-0.007,0.101,-0.3,,,-18.04,
3.505,-0.203,3.994,-10.909,-0.0048,0.095,-0.26,,,-15.95,
3.526,-0.119,3.776,-8.391,-0.0028,0.09,-0.2,,,-14.26,
3.548,-0.039,3.631,-5.035,-9.38E-04,0.087,-0.12,,,-13.18,
3.569,0.038,3.558,-2.517,9.00E-04,0.085,-0.06,,,-12.66,
3.591,0.115,3.522,-0.839,0.0027,0.084,-0.02,,,-12.4,
3.613,0.19,3.522,0.839,0.0045,0.084,0.02,,,-12.4,
3.634,0.267,3.558,1.678,0.0064,0.085,0.04,,,-12.66,
3.656,0.344,3.594,2.517,0.0082,0.086,0.06,,,-12.92,
3.678,0.423,3.667,4.196,0.0101,0.088,0.1,,,-13.45,
3.699,0.503,3.776,5.874,0.012,0.09,0.14,,,-14.26,
3.721,0.586,3.921,6.713,0.014,0.094,0.16,,,-15.37,
3.743,0.672,4.066,7.552,0.0161,0.097,0.18,,,-16.53,
3.764,0.762,4.248,8.391,0.0182,0.101,0.2,,,-18.04,
3.786,0.856,4.429,8.391,0.0204,0.106,0.2,,,-19.62,
3.807,0.953,4.611,8.391,0.0228,0.11,0.2,,,-21.26,
3.829,1.056,4.792,7.552,0.0252,0.114,0.18,,,-22.97,
3.851,1.161,4.938,6.713,0.0277,0.118,0.16,,,-24.38,
3.872,1.269,5.083,5.874,0.0303,0.121,0.14,,,-25.83,
3.894,1.381,5.192,3.357,0.033,0.124,0.08,,,-26.95,
3.916,1.494,5.228,-1.23E-13,0.0357,0.125,0,,,-27.33,
3.926,,,,,,,3.16,,,5.21
3.937,1.607,5.192,-2.517,0.0384,0.124,-0.06,,,-26.95,
3.959,1.718,5.119,-5.035,0.041,0.122,-0.12,,,-26.21,
3.98,1.828,4.974,-9.23,0.0437,0.119,-0.22,,,-24.74,
3.992,,,,,,,,0.24,,
4.002,1.934,4.72,-13.426,0.0462,0.113,-0.321,,,-22.28,
4.024,2.033,4.393,-17.622,0.0485,0.105,-0.421,,,-19.3,
4.045,2.124,3.957,-22.656,0.0507,0.094,-0.541,,,-15.66,
4.067,2.204,3.413,-27.691,0.0526,0.081,-0.661,,,-11.65,
4.089,2.271,2.759,-31.048,0.0542,0.066,-0.741,,,-7.61,
4.11,2.323,2.069,-31.887,0.0555,0.049,-0.761,,,-4.28,
4.132,2.361,1.38,-34.404,0.0564,0.033,-0.821,,,-1.9,
4.154,2.383,0.581,-36.922,0.0569,0.014,-0.881,,,-0.34,
4.175,2.386,-0.218,-36.082,0.057,-0.005,-0.861,,,-0.05,
4.197,2.373,-0.98,-36.082,0.0567,-0.023,-0.861,,,-0.96,
4.218,2.344,-1.779,-36.082,0.056,-0.042,-0.861,,,-3.16,
4.24,2.297,-2.541,-33.565,0.0548,-0.061,-0.801,,,-6.46,
4.262,2.234,-3.231,-31.048,0.0533,-0.077,-0.741,,,-10.44,
4.283,2.157,-3.885,-28.53,0.0515,-0.093,-0.681,,,-15.09,
4.305,2.066,-4.466,-24.335,0.0493,-0.107,-0.581,,,-19.94,
4.327,1.963,-4.938,-20.139,0.0469,-0.118,-0.481,,,-24.38,
4.348,1.852,-5.337,-16.783,0.0442,-0.127,-0.401,,,-28.48,
4.37,1.733,-5.664,-12.587,0.0414,-0.135,-0.3,,,-32.08,
4.391,1.607,-5.882,-9.23,0.0384,-0.14,-0.22,,,-34.59,
4.413,1.478,-6.063,-8.391,0.0353,-0.145,-0.2,,,-36.76,
4.435,1.345,-6.245,-6.713,0.0321,-0.149,-0.16,,,-38.99,
4.456,1.208,-6.353,-3.357,0.0288,-0.152,-0.08,,,-40.37,
4.478,1.07,-6.39,-1.678,0.0255,-0.153,-0.04,,,-40.83,
4.5,0.931,-6.426,-3.357,0.0222,-0.153,-0.08,,,-41.29,
4.521,0.792,-6.535,-4.196,0.0189,-0.156,-0.1,,,-42.71,
4.543,0.649,-6.608,-4.196,0.0155,-0.158,-0.1,,,-43.66,
4.565,0.506,-6.717,-6.713,0.0121,-0.16,-0.16,,,-45.11,
4.586,0.358,-6.898,-8.391,0.0086,-0.165,-0.2,,,-47.58,
4.608,0.207,-7.08,-10.909,0.005,-0.169,-0.26,,,-50.12,
4.629,0.052,-7.37,-14.265,0.0012,-0.176,-0.341,,,-54.32,
4.651,-0.112,-7.697,-16.783,-0.0027,-0.184,-0.401,,,-59.24,
4.673,-0.281,-8.096,-19.3,-0.0067,-0.193,-0.461,,,-65.55,
4.694,-0.462,-8.532,-21.817,-0.011,-0.204,-0.521,,,-72.79,
4.716,-0.65,-9.04,-25.174,-0.0155,-0.216,-0.601,,,-81.72,
4.738,-0.853,-9.621,-27.691,-0.0204,-0.23,-0.661,,,-92.56,
4.759,-1.067,-10.238,-29.369,-0.0255,-0.244,-0.701,,,-104.82,
4.781,-1.296,-10.892,-28.53,-0.0309,-0.26,-0.681,,,-118.63,
4.803,-1.538,-11.473,-26.013,-0.0367,-0.274,-0.621,,,-131.62,
4.824,-1.792,-12.017,-21.817,-0.0428,-0.287,-0.521,,,-144.41,
4.846,-2.058,-12.417,-13.426,-0.0491,-0.296,-0.321,,,-154.17,
4.867,-2.329,-12.598,-3.357,-0.0556,-0.301,-0.08,,,-158.71,
4.889,-2.603,-12.562,7.552,-0.0621,-0.3,0.18,,,-157.8,
4.911,-2.873,-12.271,21.817,-0.0686,-0.293,0.521,,,-150.58,
4.932,-3.134,-11.618,36.922,-0.0748,-0.277,0.881,,,-134.97,
4.954,-3.376,-10.674,48.669,-0.0806,-0.255,1.162,,,-113.93,
4.976,-3.596,-9.512,60.417,-0.0858,-0.227,1.442,,,-90.48,
4.997,-3.787,-8.06,71.326,-0.0904,-0.192,1.703,,,-64.96,
5.019,-3.944,-6.426,78.878,-0.0942,-0.153,1.883,,,-41.29,
5.04,-4.065,-4.647,83.913,-0.097,-0.111,2.003,,,-21.6,
5.062,-4.145,-2.796,85.591,-0.099,-0.067,2.043,,,-7.81,
5.084,-4.186,-0.944,87.269,-0.0999,-0.023,2.083,,,-0.89,
5.105,-4.186,0.98,88.108,-0.0999,0.023,2.103,,,-0.96,
5.127,-4.144,2.868,83.913,-0.0989,0.068,2.003,,,-8.23,
5.149,-4.062,4.611,78.039,-0.097,0.11,1.863,,,-21.26,
5.17,-3.944,6.245,73.004,-0.0942,0.149,1.743,,,-38.99,
5.192,-3.792,7.769,66.291,-0.0905,0.185,1.583,,,-60.36,
5.214,-3.608,9.113,55.382,-0.0861,0.218,1.322,,,-83.04,
5.235,-3.398,10.166,41.956,-0.0811,0.243,1.002,,,-103.34,
5.257,-3.168,10.928,29.369,-0.0756,0.261,0.701,,,-119.42,
5.278,-2.925,11.436,17.622,-0.0698,0.273,0.421,,,-130.79,
5.3,-2.673,11.69,5.035,-0.0638,0.279,0.12,,,-136.67,
5.322,-2.419,11.654,-7.552,-0.0577,0.278,-0.18,,,-135.82,
5.343,-2.169,11.364,-16.783,-0.0518,0.271,-0.401,,,-129.13,
5.365,-1.927,10.928,-23.496,-0.046,0.261,-0.561,,,-119.42,
5.387,-1.696,10.347,-29.369,-0.0405,0.247,-0.701,,,-107.06,
5.408,-1.48,9.657,-31.887,-0.0353,0.231,-0.761,,,-93.26,
5.43,-1.279,8.967,-32.726,-0.0305,0.214,-0.781,,,-80.42,
5.452,-1.092,8.241,-33.565,-0.0261,0.197,-0.801,,,-67.92,
5.473,-0.922,7.515,-31.048,-0.022,0.179,-0.741,,,-56.48,
5.495,-0.767,6.898,-28.53,-0.0183,0.165,-0.681,,,-47.58,
5.516,-0.624,6.281,-29.369,-0.0149,0.15,-0.701,,,-39.45,
5.538,-0.495,5.627,-27.691,-0.0118,0.134,-0.661,,,-31.67,
5.56,-0.38,5.083,-23.496,-0.0091,0.121,-0.561,,,-25.83,
5.568,,,,,,,,0.25,,
5.581,-0.275,4.611,-22.656,-0.0066,0.11,-0.541,,,-21.26,
5.603,-0.181,4.103,-21.817,-0.0043,0.098,-0.521,,,-16.83,
5.625,-0.097,3.667,-19.3,-0.0023,0.088,-0.461,,,-13.45,
5.646,-0.022,3.268,-18.461,-5.25E-04,0.078,-0.441,,,-10.68,
5.668,0.044,2.868,-17.622,0.0011,0.068,-0.421,,,-8.23,
5.689,0.102,2.505,-15.943,0.0024,0.06,-0.381,,,-6.28,
5.711,0.152,2.178,-15.943,0.0036,0.052,-0.381,,,-4.75,
5.733,0.196,1.815,-16.783,0.0047,0.043,-0.401,,,-3.3,
5.754,0.231,1.452,-15.943,0.0055,0.035,-0.381,,,-2.11,
5.776,0.259,1.125,-15.943,0.0062,0.027,-0.381,,,-1.27,
5.798,0.28,0.762,-16.783,0.0067,0.018,-0.401,,,-0.58,
5.819,0.292,0.399,-15.943,0.007,0.01,-0.381,,,-0.16,
5.841,0.297,0.073,-15.943,0.0071,0.002,-0.381,,,-0.01,
5.863,0.295,-0.29,-17.622,0.0071,-0.007,-0.421,,,-0.08,
5.884,0.284,-0.69,-16.783,0.0068,-0.016,-0.401,,,-0.48,
5.906,0.265,-1.017,-15.943,0.0063,-0.024,-0.381,,,-1.03,
5.927,0.24,-1.38,-18.461,0.0057,-0.033,-0.441,,,-1.9,
5.949,0.206,-1.815,-19.3,0.0049,-0.043,-0.461,,,-3.3,
5.971,0.162,-2.215,-18.461,0.0039,-0.053,-0.441,,,-4.9,
5.992,0.11,-2.614,-19.3,0.0026,-0.062,-0.461,,,-6.83,
6.014,0.049,-3.05,-21.817,0.0012,-0.073,-0.521,,,-9.3,
6.036,-0.022,-3.558,-23.496,-5.25E-04,-0.085,-0.561,,,-12.66,
6.057,-0.105,-4.066,-24.335,-0.0025,-0.097,-0.581,,,-16.53,
6.079,-0.198,-4.611,-26.013,-0.0047,-0.11,-0.621,,,-21.26,
6.101,-0.305,-5.192,-26.852,-0.0073,-0.124,-0.641,,,-26.95,
6.122,-0.423,-5.773,-29.369,-0.0101,-0.138,-0.701,,,-33.32,
6.144,-0.554,-6.462,-31.887,-0.0132,-0.154,-0.761,,,-41.76,
6.165,-0.702,-7.152,-31.887,-0.0168,-0.171,-0.761,,,-51.15,
6.187,-0.864,-7.842,-33.565,-0.0206,-0.187,-0.801,,,-61.5,
6.209,-1.041,-8.604,-36.082,-0.0249,-0.205,-0.861,,,-74.04,
6.23,-1.236,-9.403,-36.082,-0.0295,-0.224,-0.861,,,-88.42,
6.252,-1.448,-10.166,-33.565,-0.0346,-0.243,-0.801,,,-103.34,
6.274,-1.676,-10.855,-29.369,-0.04,-0.259,-0.701,,,-117.84,
6.295,-1.918,-11.436,-23.496,-0.0458,-0.273,-0.561,,,-130.79,
6.317,-2.171,-11.872,-15.943,-0.0518,-0.283,-0.381,,,-140.94,
6.338,-2.432,-12.126,-5.035,-0.058,-0.289,-0.12,,,-147.04,
6.36,-2.695,-12.09,8.391,-0.0643,-0.289,0.2,,,-146.16,
6.382,-2.955,-11.763,21.817,-0.0705,-0.281,0.521,,,-138.37,
6.403,-3.204,-11.146,36.082,-0.0765,-0.266,0.861,,,-124.23,
6.425,-3.437,-10.202,49.508,-0.082,-0.244,1.182,,,-104.08,
6.447,-3.646,-9.004,60.417,-0.087,-0.215,1.442,,,-81.07,
6.468,-3.826,-7.588,68.808,-0.0913,-0.181,1.643,,,-57.58,
6.49,-3.974,-6.027,76.36,-0.0949,-0.144,1.823,,,-36.32,
6.512,-4.087,-4.284,82.234,-0.0976,-0.102,1.963,,,-18.35,
6.533,-4.159,-2.469,83.913,-0.0993,-0.059,2.003,,,-6.09,
6.555,-4.194,-0.654,85.591,-0.1001,-0.016,2.043,,,-0.43,
6.576,-4.188,1.234,85.591,-0.1,0.029,2.043,,,-1.52,
6.598,-4.141,3.05,81.395,-0.0988,0.073,1.943,,,-9.3,
6.62,-4.056,4.756,77.2,-0.0968,0.114,1.843,,,-22.62,
6.641,-3.935,6.39,73.004,-0.0939,0.153,1.743,,,-40.83,
6.663,-3.779,7.915,64.613,-0.0902,0.189,1.543,,,-62.64,
6.685,-3.592,9.185,53.704,-0.0858,0.219,1.282,,,-84.37,
6.706,-3.382,10.238,42.795,-0.0807,0.244,1.022,,,-104.82,
6.728,-3.149,11.037,29.369,-0.0752,0.263,0.701,,,-121.81,
6.749,-2.904,11.509,15.943,-0.0693,0.275,0.381,,,-132.45,
6.771,-2.652,11.727,5.035,-0.0633,0.28,0.12,,,-137.52,
6.793,-2.397,11.727,-5.874,-0.0572,0.28,-0.14,,,-137.52,
6.814,-2.144,11.473,-15.943,-0.0512,0.274,-0.381,,,-131.62,
6.836,-1.901,11.037,-22.656,-0.0454,0.263,-0.541,,,-121.81,
6.858,-1.667,10.492,-27.691,-0.0398,0.25,-0.661,,,-110.09,
6.879,-1.447,9.839,-30.209,-0.0345,0.235,-0.721,,,-96.8,
6.901,-1.241,9.185,-30.209,-0.0296,0.219,-0.721,,,-84.37,
6.923,-1.049,8.532,-29.369,-0.0251,0.204,-0.701,,,-72.79,
6.944,-0.872,7.915,-26.852,-0.0208,0.189,-0.641,,,-62.64,
6.966,-0.707,7.37,-25.174,-0.0169,0.176,-0.601,,,-54.32,
6.987,-0.553,6.825,-23.496,-0.0132,0.163,-0.561,,,-46.59,
7.009,-0.412,6.353,-20.139,-0.0098,0.152,-0.481,,,-40.37,
7.031,-0.278,5.954,-17.622,-0.0066,0.142,-0.421,,,-35.45,
7.052,-0.154,5.591,-15.104,-0.0037,0.133,-0.361,,,-31.26,
7.074,-0.036,5.301,-13.426,-8.63E-04,0.127,-0.321,,,-28.1,
7.082,,,,,,,3.16,,,5.2
7.096,0.075,5.01,-12.587,0.0018,0.12,-0.3,,,-25.1,
7.117,0.181,4.756,-10.07,0.0043,0.114,-0.24,,,-22.62,
7.139,0.281,4.575,-6.713,0.0067,0.109,-0.16,,,-20.93,
7.148,,,,,,,,0.24,,
7.161,0.379,4.466,-5.874,0.009,0.107,-0.14,,,-19.94,
7.182,0.474,4.32,-6.713,0.0113,0.103,-0.16,,,-18.67,
7.204,0.565,4.175,-5.035,0.0135,0.1,-0.12,,,-17.43,
7.225,0.655,4.103,-4.196,0.0156,0.098,-0.1,,,-16.83,
7.247,0.743,3.994,-5.035,0.0177,0.095,-0.12,,,-15.95,
7.269,0.828,3.885,-4.196,0.0198,0.093,-0.1,,,-15.09,
7.29,0.911,3.812,-4.196,0.0217,0.091,-0.1,,,-14.53,
7.312,0.993,3.703,-5.874,0.0237,0.088,-0.14,,,-13.71,
7.334,1.071,3.558,-5.874,0.0256,0.085,-0.14,,,-12.66,
7.355,1.147,3.449,-5.874,0.0274,0.082,-0.14,,,-11.9,
7.377,1.221,3.304,-8.391,0.0291,0.079,-0.2,,,-10.92,
